"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","Meta Keywords 2","Meta Keywords 2 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","Meta Robots 3","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","URL Encoded Address","Crawl Timestamp"
"http://localhost:3001/en","text/html; charset=utf-8","200","OK","Indexable","","Transfer Race Bibs | Buy & Sell Running, Trail, Triathlon Bibs","62","528","Transfer race bibs safely with Beswib. Buy and sell running, trail, triathlon, and cycling race bibs. Join thousands of athletes worldwide.","139","830","","0","0","race bibs, running bibs, trail running, triathlon, cycling, race transfer, buy bibs, sell bibs, marathon, ultra trail","117","","0","An unexpected event? Transfer your bib!","39","How does it work?","17","Why choose Beswib?","18","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","","","","","","","293906","81978","81978","31.926","","288","65","4.431","36.369","Hard","0.893","0","0","","0","0","0","0.000","29","22","0","4","4","0","","","","","72440bb1d7b57c79176f2e4cdbc32172","0.521","","","","","en","1.1","","http://localhost:3001/en","2025-08-22 17:02:14"
"http://localhost:3001/faq","","307","Temporary Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","161","161","0","100.000","0","0","0","0","0","0","","","","","","0.013","","https://frank-meerkat-31.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3001%2Ffaq&__clerk_api_version=2025-04-10&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce","HTTP Redirect","","","1.1","","http://localhost:3001/faq","2025-08-22 17:02:17"
"http://localhost:3001/_next/static/chunks/4f56a_%40c15t_react_dist_a863e03b._.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.038","Fri, 22 Aug 2025 14:14:36 GMT","","","","","1.1","","http://localhost:3001/_next/static/chunks/4f56a_%40c15t_react_dist_a863e03b._.js","2025-08-22 17:02:17"
"http://localhost:3001/_next/static/chunks/turbopack-_23925180._.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.016","Fri, 22 Aug 2025 14:14:36 GMT","","","","","1.1","","http://localhost:3001/_next/static/chunks/turbopack-_23925180._.js","2025-08-22 17:02:17"
"http://localhost:3001/events","","307","Temporary Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","0","","179","161","0","100.000","0","0","0","0","0","0","","","","","","0.040","","https://frank-meerkat-31.clerk.accounts.dev/v1/client/handshake?redirect_url=http%3A%2F%2Flocalhost%3A3001%2Fevents&__clerk_api_version=2025-04-10&suffixed_cookies=false&__clerk_hs_reason=dev-browser-missing&format=nonce","HTTP Redirect","","","1.1","","http://localhost:3001/events","2025-08-22 17:02:18"
"http://localhost:3001/_next/static/chunks/src_app_global-error_tsx_8e7553f5._.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.008","Fri, 22 Aug 2025 14:14:36 GMT","","","","","1.1","","http://localhost:3001/_next/static/chunks/src_app_global-error_tsx_8e7553f5._.js","2025-08-22 17:02:18"
"http://localhost:3001/_next/static/chunks/src_app_global-error_tsx_10b06939._.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","316","316","316","0.123","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.012","Fri, 22 Aug 2025 14:14:36 GMT","","","","","1.1","","http://localhost:3001/_next/static/chunks/src_app_global-error_tsx_10b06939._.js","2025-08-22 17:02:18"
"http://localhost:3001/_next/static/chunks/fbff6_next_dist_compiled_react-dom_d8587014._.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.022","Fri, 22 Aug 2025 14:14:36 GMT","","","","","1.1","","http://localhost:3001/_next/static/chunks/fbff6_next_dist_compiled_react-dom_d8587014._.js","2025-08-22 17:02:18"
"http://localhost:3001/en/legals/terms","text/html; charset=utf-8","200","OK","Indexable","","Terms of Service | Beswib","25","231","The terms that govern access and use of Beswib's C2B2C platform and services.","77","495","","0","0","race bibs, running bibs, trail running, triathlon, cycling, race transfer, buy bibs, sell bibs, marathon, ultra trail","117","","0","Terms of Service","16","Scope","5","C2B2C Marketplace Model","23","index, follow","index, follow, max-video-preview:-1, max-image-preview:large, max-snippet:-1","","","","","","","","","","177893","51266","51266","19.965","","313","57","5.491","44.224","Hard","1.493","1","2","","9","9","0","5.590","23","21","0","4","4","0","","","","","4c4bf48160df0de179ce9a6a527846ca","1.368","","","","","en","1.1","","http://localhost:3001/en/legals/terms","2025-08-22 17:02:18"
"http://localhost:3001/_next/static/chunks/node_modules__pnpm_21ef4586._.js","application/javascript; charset=UTF-8","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.263","Fri, 22 Aug 2025 14:14:36 GMT","","","","","1.1","","http://localhost:3001/_next/static/chunks/node_modules__pnpm_21ef4586._.js","2025-08-22 17:02:20"
